ID,Source,x,y,R,G,B,size
919,124947303086584320,52.08640141552,33.80729942499,70,107,227,3.7328654599124382
21822,493226386350323712,56.50486707641,67.20109687138,56,165,251,3.7249532160453995
79381,976346160595410304,112.21449530386002,48.18373511538,67,78,186,3.7186897186868633
90704,1962740066469924096,330.73595613676,44.64971783283,69,94,211,3.717623664164543
34835,1704421629268883456,240.8802750815,76.7940335885,71,110,230,3.7165484468800765
89948,1915667396702502400,343.93554750397004,36.35139360563,69,92,207,3.7059267810771566
88137,1852355455594429440,317.16216732481,30.20554376623,67,78,186,3.7053978778319703
32925,1053660244847204864,154.5075028864,65.10831235578,70,128,246,3.7013814163695606
18091,218804811091303936,57.97384622535,34.35909872011,70,97,214,3.6878962442716423
1684,157860462109271808,70.33252610996,28.6148577705,70,97,214,3.6863274054397213
32824,1023758545093682304,136.00163971472,54.2838939476,70,102,221,3.6807332546168743
8993,260882262095073920,74.02944308941,52.86980380345,71,120,240,3.680698922722091
29205,883371800947871360,107.84601815041,26.85644205828,71,123,242,3.67955675812199
44066,454385485266854016,40.76209686242,55.10592188826,66,75,181,3.6713855453546045
34238,1428733073017472000,246.10566458906,55.20518903906999,70,97,214,3.670869154463486
34183,1416872022613598464,265.99667548771,53.80163166547,70,105,224,3.6694782008385713
34951,1727877167227120128,262.70293544843,86.96809054413,69,138,252,3.6689603912169897
90009,1925017677944306176,351.78136256819,42.91208603012,70,97,214,3.6672428788296867
74924,2298839158800911616,310.64782760182004,82.53124936723,70,100,218,3.66654377281911
75590,2643278837107816192,357.36446340778,1.0760072469700002,70,130,248,3.663123666000115
11191,339057779344285824,35.70915235581,41.39585484434,62,155,254,3.658586206524097
66791,2171316219676385664,323.23592286367,49.97768092471,69,92,207,3.654216933516004
33715,1249218214732128640,205.16840083709,19.95582129877,70,102,221,3.6367954877102613
11696,53112944270520832,61.33523408583,22.00832433741,26,210,210,3.6335795489145184
81888,1780482957460615040,327.89280141831,19.82674256639,66,75,181,3.623997561020699
61770,509717686388338816,25.832437982090003,60.55127983308,70,102,221,3.6236543990156544
246,118591610481186688,48.05941829715999,27.25688693537,67,78,186,3.6206908018500794
34502,1598002510156627456,233.98737040194,54.63050339845,70,105,224,3.619839042905977
33613,1197801408889764480,235.47769686502,18.46427791957,70,135,251,3.6103589643421246
35834,429451138534730368,1.27576737709,61.3139792212,68,86,199,3.59852821721511
28902,369934093075424640,17.79273239059,37.72410007071,67,78,186,3.598213201866125
79418,987326158587778432,110.71688681784,55.28125527997,68,81,191,3.59720988103129
6938,236572025642774400,53.39606508627,39.899270058240006,71,120,240,3.5948189674358435
33763,1281505648559728640,222.49341975376,28.6158286172,71,113,233,3.5879768153410785
21490,487090527352385408,57.40232630367,63.2966856865,69,138,252,3.586013769477087
76908,2897372641393464064,91.52313534713,-29.75880719084,70,105,224,3.5837544934855146
79060,2932289110610225408,103.76140720557,-20.40492269108,71,110,230,3.583167359537873
42852,133296307192505472,39.17915873626,31.60766888527,53,243,148,3.5802869377365685
33694,1234645287617291392,220.18303769217,16.41783097143,68,143,254,3.5783387752929787
271,125587218853717120,51.12393207052,33.535826777240004,69,92,207,3.5760104040823726
